x,area,qty
121,0.016666666666666666,0.000174825000174825
511,0.0033333333333333335,2.4975000024975e-06
1004,0.0034133333333333333,2.4975000024975e-06
464,0.004333333333333333,9.99000000999e-06
544,0.0055,1.24875000124875e-05
817,0.01,5.994000005994e-05
699,0.006666666666666667,9.99000000999e-07
849,0.006666666666666667,1.998000001998e-05
522,0.00508,4.9950000049950003e-08
554,0.005,7.4925000074925e-06
348,0.0036666666666666666,4.995000004995e-05
204,0.005,9.4905000094905e-05
328,0.009333333333333334,6.5934000065934e-05
337,0.006666666666666667,3.996000003996e-05
427,0.005,4.4955000044955e-05
1160,0.01,7.4925000074925e-06
1097,0.0033333333333333335,1.4985000014985e-06
458,0.005,9.99000000999e-06
646,0.006666666666666667,5.4945000054945e-05
36,0.03333333333333333,0.0001123875001123875
1050,0.005,8.74125000874125e-06
910,0.045,7.992000007992e-05
1098,0.007333333333333333,4.3956000043956e-05
1069,0.007,3.74625000374625e-06
505,0.0026666666666666666,1.24875000124875e-05
416,0.015,8.991000008991e-05
1031,0.007333333333333333,8.4915000084915e-06
249,0.008333333333333333,3.4965000034965e-05
761,0.00664,2.4975000024975e-05
747,0.0022233333333333332,9.24075000924075e-06
79,0.1,0.00134865000134865
102,0.006666666666666667,0.00074925000074925
781,0.004333333333333333,4.995000004995e-07
34,0.08333333333333333,0.001998000001998
214,0.06,0.00024975000024975
767,0.004266666666666667,2.072925002072925e-05
821,0.006666666666666667,4.995000004995e-07
317,0.005,8.991000008991e-05
881,0.16666666666666666,0.000504495000504495
861,0.005413333333333333,3.2967000032967e-05
789,0.028533333333333334,0.00017107875017107876
97,0.006666666666666667,0.0004995000004995
163,0.008666666666666666,0.00014985000014985
1011,0.03333333333333333,4.4955000044955e-05
71,0.6333333333333333,0.0037962000037962
259,0.016666666666666666,9.99000000999e-05
331,0.25,0.00224775000224775
1074,0.004,2.4975000024975e-06
280,0.007666666666666666,4.64535000464535e-05
387,0.004166666666666667,2.4975000024975e-05
1115,0.01,4.6953000046953e-05
309,0.01,1.4985000014985e-07
485,0.006,3.24675000324675e-06
1139,0.006666666666666667,3.996000003996e-06
808,0.01132,6.7932000067932e-05
979,0.005,2.4975000024975e-06
1066,0.007166666666666667,1.4985000014985e-06
569,0.0033333333333333335,9.99000000999e-06
983,0.005333333333333333,2.44755000244755e-06
661,0.005,2.997000002997e-05
743,0.013333333333333334,1.998000001998e-05
709,0.009666666666666667,4.74525000474525e-05
579,0.004666666666666667,2.4975000024975e-05
1126,0.006666666666666667,2.4975000024975e-06
862,0.0058,2.4975000024975e-06
282,0.006,3.5964000035964e-05
1128,0.005,2.4975000024975e-05
1052,0.006,2.997000002997e-06
154,0.016666666666666666,9.99000000999e-05
689,0.05333333333333334,6.84315000684315e-05
365,0.05,4.995000004995e-05
421,0.006666666666666667,2.4975000024975e-06
1094,0.006666666666666667,4.995000004995e-06
215,0.008,0.00012987000012987
158,0.03333333333333333,0.00014985000014985
930,0.004966666666666667,4.995000004995e-06
660,0.006333333333333333,3.996000003996e-05
891,0.0075,4.995000004995e-05
15,0.004,5.994000005994e-06
263,0.009833333333333333,5.8941000058941e-05
826,0.007,4.995000004995e-05
368,0.0045,2.997000002997e-05
391,0.006666666666666667,3.996000003996e-05
672,0.021666666666666667,0.00011988000011988
598,0.0055,3.2967000032967e-05
917,0.005,2.4975000024975e-06
677,0.006,4.995000004995e-05
977,0.006666666666666667,9.99000000999e-06
475,0.005,4.995000004995e-06
892,0.016,4.995000004995e-05
1035,0.004,1.4985000014985e-05
666,0.0028,1.6983000016983e-05
364,0.15,4.995000004995e-06
455,0.006,3.4965000034965e-05
489,0.013333333333333334,2.4975000024975e-06
939,0.011666666666666667,4.995000004995e-06
623,0.006666666666666667,9.99000000999e-06
872,0.006666666666666667,4.220775004220775e-05
1140,0.006666666666666667,8.4915000084915e-06
602,0.006666666666666667,3.996000003996e-05
262,0.005,2.997000002997e-05
959,0.008333333333333333,4.995000004995e-05
219,0.011666666666666667,6.993000006993e-05
541,0.006166666666666667,1.998000001998e-05
496,0.0075,4.995000004995e-06
497,0.007666666666666666,9.99000000999e-06
594,0.005833333333333334,2.4975000024975e-06
1150,0.005,2.4975000024975e-06
165,0.016666666666666666,0.0024975000024975
1038,0.0006666666666666666,7.4925000074925e-06
442,0.021,1.998000001998e-05
190,0.03333333333333333,3.996000003996e-05
166,0.006666666666666667,0.00014985000014985
858,0.005,4.995000004995e-06
423,0.006666666666666667,1.0
303,0.009333333333333334,5.4945000054945e-05
540,0.007,4.995000004995e-06
175,0.007333333333333333,0.0004995000004995
