;SUM(ed.qty)
880;0.0011320754716981133
256;1.0
982;9.433962264150943e-05
1147;0.0007924528301886792
412;0.0022641509433962265
456;0.0002830188679245283
1053;9.433962264150943e-05
307;0.0015094339622641509
228;0.0011320754716981133
809;0.0003773584905660377
369;0.0013773584905660376
1076;9.433962264150943e-05
828;0.0005660377358490566
251;0.0002830188679245283
927;0.00018867924528301886
644;0.0018867924528301887
62;0.09433962264150944
134;0.052830188679245285
112;0.018867924528301886
127;0.0037735849056603774
958;0.0003773584905660377
836;9.433962264150943e-05
586;4.9056603773584906e-05
839;0.01509433962264151
943;0.0003962264150943396
85;0.0005660377358490566
523;0.0005660377358490566
1172;0.0011320754716981133
686;0.00018867924528301886
1051;9.433962264150943e-05
714;0.0011320754716981133
196;0.0018867924528301887
915;0.0003773584905660377
707;9.433962264150943e-05
608;0.0005660377358490566
498;0.0005660377358490566
376;0.008018867924528302
169;0.0015094339622641509
1017;0.00018867924528301886
185;0.00018867924528301886
199;0.0011320754716981133
193;0.03773584905660377
572;0.0018867924528301887
928;0.00018867924528301886
217;0.0006603773584905661
643;0.0013207547169811322
932;5.660377358490566e-05
77;0.0037735849056603774
1153;0.00018867924528301886
401;0.026462264150943396
474;9.433962264150943e-05
240;0.0011320754716981133
1025;0.0037735849056603774
730;0.0007547169811320754
1043;0.00018867924528301886
212;0.0015094339622641509
118;0.03773584905660377
371;0.0030188679245283017
388;0.0018867924528301887
306;0.0011320754716981133
1082;0.0002830188679245283
874;0.0012528301886792453
605;0.0007547169811320754
291;0.0030188679245283017
675;0.00031132075471698115
206;0.014150943396226415
929;0.0037735849056603774
476;0.0004716981132075472
89;0.0007547169811320754
984;0.0003773584905660377
233;0.0005660377358490566
1002;0.001188679245283019
216;0.0016981132075471698
1122;9.433962264150943e-05
20;3.7735849056603776e-05
382;0.0011320754716981133
152;0.009433962264150943
43;0.0003773584905660377
1162;9.433962264150944e-06
1137;0.0018867924528301887
584;0.0011320754716981133
803;0.0015094339622641509
242;0.0030188679245283017
159;0.0002830188679245283
1116;0.0009433962264150943
1063;0.0002830188679245283
737;9.433962264150943e-05
632;0.0005660377358490566
210;0.0018867924528301887
457;0.00018867924528301886
361;0.0018867924528301887
1005;0.0016981132075471698
140;0.0018867924528301887
425;0.18867924528301888
918;0.00018867924528301886
155;0.0037735849056603774
333;0.0011320754716981133
589;0.00022641509433962264
398;0.002830188679245283
30;0.018867924528301886
106;0.0014150943396226414
806;5.660377358490566e-06
413;0.0016037735849056603
1;0.0018867924528301887
754;0.0009433962264150943
1121;0.0003773584905660377
1012;9.433962264150943e-05
989;9.433962264150943e-05
787;0.00018867924528301886
986;0.00018867924528301886
1156;0.0003962264150943396
914;0.0009811320754716981
289;0.010188679245283019
507;0.00018867924528301886
800;9.433962264150943e-05
971;0.0009433962264150943
825;0.0004716981132075472
517;0.0009433962264150943
341;0.003320754716981132
791;0.009433962264150943
82;0.0018867924528301887
570;1.8867924528301887e-06
110;0.005660377358490566
659;0.0022641509433962265
243;0.05230188679245283
142;0.009433962264150943
290;0.0018867924528301887
613;0.0030188679245283017
147;0.020754716981132074
595;0.0008490566037735849
295;0.003528301886792453
784;0.00018867924528301886
697;0.0024528301886792454
1041;9.433962264150943e-05
261;0.009433962264150943
1015;0.00018867924528301886
