"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"5013";"695033";"Public_Office__(Thiruvananthapuram)";"-150";"0.00";NULL;"168";"Kitchen_Sinks";"1.00"
"5013";"695033";"Public_Office__(Thiruvananthapuram)";"-150";"0.00";NULL;"234";"Water_Tanks_and_Storage";"1.00"
"5014";"670562";"Kalliasseri_";"3500";"70.00";NULL;"131";"Wooden_Flooring";"100.00"
"5014";"670562";"Kalliasseri_";"3500";"70.00";NULL;"158";"Wash_Basins_and_Pedestals";"1.00"
"5014";"670562";"Kalliasseri_";"3500";"70.00";NULL;"160";"WCs__Flushing_and_Accessories";"4.00"
"5015";"670562";"Kalliasseri_";"3500";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"1.00"
"5016";"673002";"Chalapuram_";"2000";"0.00";"Structure";"115";"Cement";"325.00"
"5016";"673002";"Chalapuram_";"2000";"0.00";"Structure";"116";"Rebars_and_Binding_Wires";"3212.00"
"5017";"673002";"Chalapuram_";"2000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"1000.00"
"5018";"673541";"Chaniyankadavu_";"2000";"0.00";NULL;"115";"Cement";"50.00"
"5019";"676122";"Manjeri_College_";"0";"0.00";NULL;"115";"Cement";"75.00"
"5020";"679339";"Porur_";"0";"0.00";NULL;"300";"Wall_and_Roof_Paints";"23.00"
"5020";"679339";"Porur_";"0";"0.00";NULL;"314";"Wooden_and_Metallic_Paints";"4.00"
"5021";"673104";"Chemmarathur_";"1900";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"1000.00"
"5022";"673601";"Chathamangalam_";"2000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"3035.36"
"5023";"673612";"Balusseri_";"2300";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"1600.00"
"5024";"676541";"Edavanna_";"0";"0.00";NULL;"115";"Cement";"45.00"
"5025";"682506";"Panangad__(Ernakulam)";"0";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"57000.00"
"5026";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"123";"Tiles_-_Vitrified";"3015.50"
"5026";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"124";"Tiles_-_Ceramic";"15.50"
"5027";"683589";"Mekkad_";"2382";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"0.00"
"5028";"673314";"Vallikkunnu_";"0";"0.00";"Finishing";"115";"Cement";"100.00"
"5028";"673314";"Vallikkunnu_";"0";"0.00";"Finishing";"116";"Rebars_and_Binding_Wires";"920.00"
"5029";"682030";"Kakkanad_";"1000";"0.00";"Structure";"115";"Cement";"100.00"
"5029";"682030";"Kakkanad_";"1000";"0.00";"Structure";"117";"Sand_and_Fine_Aggregates";"0.00"
"5030";"673571";"Chelavur_";"1300";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"600.00"
"5032";"682033";"Changampuzha_Nagar_";"9000";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"2500.00"
"5032";"682033";"Changampuzha_Nagar_";"9000";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"5250.00"
"5033";"679328";"Wandoor_";"0";"0.00";NULL;"115";"Cement";"600.00"
"5035";"682028";"Vennala_";"1500";"800.00";NULL;"300";"Wall_and_Roof_Paints";"12.00"
"5037";"671543";"Belluru_";"0";"0.00";NULL;NULL;"Miscellaneous";"4.00"
"5038";"676503";"Kottakkal_";"0";"0.00";NULL;NULL;"Miscellaneous";"1900.00"
"5039";"695003";"Kaudiar_";"1500";"1900.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"1.00"
"5039";"695003";"Kaudiar_";"1500";"1900.00";NULL;"158";"Wash_Basins_and_Pedestals";"4.00"
"5039";"695003";"Kaudiar_";"1500";"1900.00";NULL;"160";"WCs__Flushing_and_Accessories";"8.00"
"5040";"691581";"Sakthikulangara_";"800";"500000.00";NULL;"115";"Cement";"200.00"
"5040";"691581";"Sakthikulangara_";"800";"500000.00";NULL;"131";"Wooden_Flooring";"800.00"
"5040";"691581";"Sakthikulangara_";"800";"500000.00";NULL;"135";"White_Cements_and_Putty";"10.00"
"5040";"691581";"Sakthikulangara_";"800";"500000.00";NULL;"281";"Doors";"1.00"
"5041";"680702";"Kattoor_";"1750";"0.00";NULL;"115";"Cement";"100.00"
"5041";"680702";"Kattoor_";"1750";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"100.00"
"5041";"680702";"Kattoor_";"1750";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"200.00"
"5041";"680702";"Kattoor_";"1750";"0.00";NULL;"317";"Tata_Steel";"100.00"
"5044";"673631";"Feroke_";"2000";"0.00";NULL;NULL;"Miscellaneous";"2.00"
"5044";"673631";"Feroke_";"2000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"945.00"
"5044";"673631";"Feroke_";"2000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"459.00"
"5044";"673631";"Feroke_";"2000";"0.00";NULL;"309";"MCBs_and_Other_Protection_Devices";"5.00"
"5044";"673631";"Feroke_";"2000";"0.00";NULL;"312";"Electrical_Consumables";"227.00"
"5044";"673631";"Feroke_";"2000";"0.00";NULL;"337";"Fuses";"4.00"
"5045";"695033";"PMG_Jn_";"1600";"0.00";NULL;"252";"Fans";"6.00"
"5046";"673017";"Chevayur_";"0";"0.00";NULL;NULL;"Miscellaneous";"47.00"
"5046";"673017";"Chevayur_";"0";"0.00";NULL;"115";"Cement";"860.00"
"5046";"673017";"Chevayur_";"0";"0.00";NULL;"328";"Plywood";"1600.00"
"5046";"673017";"Chevayur_";"0";"0.00";NULL;"348";"Iron_and_Steel_Plates";"1.00"
"5048";"680601";"Kiralur_";"1200";"0.00";NULL;"119";"Cement_Based_Bricks";"1050.00"
"5052";"682305";"Thiruvamkulam_";"2000";"0.00";NULL;NULL;"Miscellaneous";"11.00"
"5054";"676121";"Manjeri_Bazar_";"0";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"250.00"
"5055";"676552";"Valancheri_";"3000";"0.00";NULL;"115";"Cement";"200.00"
"5055";"676552";"Valancheri_";"3000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"100.00"
"5056";"683572";"Angamally_";"2000";"0.00";NULL;"115";"Cement";"50.00"
"5057";"682020";"Kadavanthara_";"2646";"0.00";NULL;"115";"Cement";"400.00"
"5058";"676301";"Tirunavaya_";"0";"0.00";NULL;"115";"Cement";"80.00"
"5059";"673008";"Calicut_Medical_College_";"2000";"0.00";NULL;"310";"Distribution_Boards_and_Enclosures";"4.00"
"5059";"673008";"Calicut_Medical_College_";"2000";"0.00";NULL;"312";"Electrical_Consumables";"21.00"
"5059";"673008";"Calicut_Medical_College_";"2000";"0.00";NULL;"357";"Electrical_Wires";"38.00"
"5060";"682314";"Mulanthuruthy_";"550";"0.00";NULL;"115";"Cement";"100.00"
