"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"2112";"670307";"Kandoth_";"1000";"1500.00";NULL;NULL;NULL;"420.00"
"2113";"695505";"Amboori_";NULL;"0.00";NULL;"123";"Tiles_-_Vitrified";"77.60"
"2113";"695505";"Amboori_";NULL;"0.00";NULL;"152";"Electrical_Wires_and_cables";"4.00"
"2113";"695505";"Amboori_";NULL;"0.00";NULL;"228";"PVC_and_Other_Pipes";"3.00"
"2113";"695505";"Amboori_";NULL;"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"10.00"
"2113";"695505";"Amboori_";NULL;"0.00";NULL;"331";"Dry_Mix_Concrete_and_Other_Masonry_Mortars";"5.00"
"2114";"680503";"Kunnamkulam_";NULL;"0.00";NULL;"268";"Pipe_Fittings";"4.00"
"2115";"670501";"Mandur-kannur_";"5000";"0.00";NULL;"115";"Cement";"9000.00"
"2115";"670501";"Mandur-kannur_";"5000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"95000.00"
"2116";"670307";"Kandoth_";"100000";"0.00";NULL;"115";"Cement";"600.00"
"2116";"670307";"Kandoth_";"100000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"24000.00"
"2117";"678613";"Mankarai_";"200";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"10.00"
"2117";"678613";"Mankarai_";"200";"0.00";NULL;"159";"Faucets";"20.00"
"2117";"678613";"Mankarai_";"200";"0.00";NULL;"161";"Shower_and_Shower_Accessories";"10.00"
"2117";"678613";"Mankarai_";"200";"0.00";NULL;"306";"Allied_Products";"26.00"
"2117";"678613";"Mankarai_";"200";"0.00";NULL;"308";"Valves";"15.00"
"2118";"673017";"Chevarambalam_";"2000";"0.00";NULL;"228";"PVC_and_Other_Pipes";"483.00"
"2118";"673017";"Chevarambalam_";"2000";"0.00";NULL;"268";"Pipe_Fittings";"600.00"
"2118";"673017";"Chevarambalam_";"2000";"0.00";NULL;"323";"Plumbing_Consumables";"183.00"
"2119";"673017";"Chevarambalam_";"2000";"0.00";NULL;"228";"PVC_and_Other_Pipes";"483.00"
"2119";"673017";"Chevarambalam_";"2000";"0.00";NULL;"268";"Pipe_Fittings";"608.00"
"2119";"673017";"Chevarambalam_";"2000";"0.00";NULL;"323";"Plumbing_Consumables";"1067.00"
"2120";"673017";"Chevarambalam_";"0";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"16.00"
"2120";"673017";"Chevarambalam_";"0";"0.00";NULL;"159";"Faucets";"48.00"
"2120";"673017";"Chevarambalam_";"0";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"64.00"
"2120";"673017";"Chevarambalam_";"0";"0.00";NULL;"306";"Allied_Products";"60.00"
"2120";"673017";"Chevarambalam_";"0";"0.00";NULL;"308";"Valves";"48.00"
"2121";"695122";"Amaravila_";"1000";"0.00";NULL;"115";"Cement";"500.00"
"2121";"695122";"Amaravila_";"1000";"0.00";NULL;"123";"Tiles_-_Vitrified";"20000.00"
"2122";"686612";"Thiruvanpady_";NULL;"0.00";NULL;"115";"Cement";"300.00"
"2122";"686612";"Thiruvanpady_";NULL;"0.00";NULL;"119";"Bricks";"3600.00"
"2123";"690504";"Athikattukulangara_";NULL;"0.00";NULL;"115";"Cement";"600.00"
"2124";"682020";"Kadavanthara_";"0";"0.00";NULL;"115";"Cement";"4.00"
"2125";"670307";"Kanayi_";"2500";"0.00";NULL;;;"2796.00"
"2125";"670307";"Kanayi_";"2500";"0.00";NULL;"249";"Lamps_";"110.00"
"2125";"670307";"Kanayi_";"2500";"0.00";NULL;"252";"Fans";"93.00"
"2126";"670307";"Payyanur_";"0";"0.00";NULL;"317";"Tata_Steel";"6.00"
"2127";"695301";"Kaniyapuram_";"1500";"0.00";NULL;;;"1.00"
"2127";"695301";"Kaniyapuram_";"1500";"0.00";NULL;"259";"Boxes";"62.00"
"2127";"695301";"Kaniyapuram_";"1500";"0.00";NULL;"262";"Electrical_Conduits";"100.00"
"2127";"695301";"Kaniyapuram_";"1500";"0.00";NULL;"310";"Distribution_Boards_and_Enclosures";"2.00"
"2128";"686612";"Njizhoor_";"2600";"0.00";NULL;"115";"Cement";"3000.00"
"2128";"686612";"Njizhoor_";"2600";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"10000.00"
"2128";"686612";"Njizhoor_";"2600";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"10000.00"
"2129";"688525";"Muhamma_";"2000";"0.00";NULL;"325";"Ceramic_Wall_Tiles";"511.34"
"2129";"688525";"Muhamma_";"2000";"0.00";NULL;"326";"Vitrified_Wall_Tiles";"232.00"
"2130";"673314";"Vallikkunnu_";"3000";"0.00";NULL;;;"2050.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"123";"Tiles_-_Vitrified";"100.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"137";"Wall_Tiles";"100.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"154";"Switchgear";"10.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"159";"Faucets";"60.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"215";"Roofing_Sheets";"100.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"249";"Lamps_";"10.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"252";"Fans";"10.00"
"2131";"695581";"Pangappara_";"4500";"0.00";NULL;"268";"Pipe_Fittings";"10.00"
"2132";"695581";"Thundathil_";"3500";"0.00";NULL;"123";"Tiles_-_Vitrified";"77.60"
"2132";"695581";"Thundathil_";"3500";"0.00";NULL;"249";"Lamps_";"5.00"
"2134";"673017";"Chevarambalam_";"2000";"0.00";NULL;;;"16.00"
"2134";"673017";"Chevarambalam_";"2000";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"16.00"
"2134";"673017";"Chevarambalam_";"2000";"0.00";NULL;"159";"Faucets";"48.00"
"2134";"673017";"Chevarambalam_";"2000";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"32.00"
"2134";"673017";"Chevarambalam_";"2000";"0.00";NULL;"306";"Allied_Products";"44.00"
"2134";"673017";"Chevarambalam_";"2000";"0.00";NULL;"308";"Valves";"40.00"
"2135";"682306";"Eroor__(Ernakulam)";"3000";"0.00";"Structure";"115";"Cement";"3000.00"
"2135";"682306";"Eroor__(Ernakulam)";"3000";"0.00";"Structure";"116";"Rebars_and_Binding_Wires";"41000.00"
"2136";"686636";"Monippally_";"2000";"0.00";NULL;"131";"Wooden_Flooring";"11.54"
"2136";"686636";"Monippally_";"2000";"0.00";NULL;"301";"Granites_and_Marbles";"1.00"
"2137";"676505";"Malappuram_";"0";"0.00";NULL;"115";"Cement";"6.00"
"2137";"676505";"Malappuram_";"0";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"7.00"
"2137";"676505";"Malappuram_";"0";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"3.00"
"2137";"676505";"Malappuram_";"0";"0.00";NULL;"119";"Cement_Based_Bricks";"4.00"
"2137";"676505";"Malappuram_";"0";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"3.00"
"2138";"673001";"Calicut_";"5000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"20000.00"
"2140";"680006";"Kuriachira_";"5000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"30000.00"
"2141";"680014";"Kuttanellur_";"5000";"0.00";NULL;"115";"Cement";"50000.00"
"2141";"680014";"Kuttanellur_";"5000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"500000.00"
"2141";"680014";"Kuttanellur_";"5000";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"170000.00"
"2141";"680014";"Kuttanellur_";"5000";"0.00";NULL;"119";"Bricks";"400000.00"
"2141";"680014";"Kuttanellur_";"5000";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"135000.00"
"2143";"695583";"Karimanal_";"2000";"0.00";NULL;"115";"Cement";"3000.00"
"2143";"695583";"Karimanal_";"2000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"2000.00"
"2144";"673016";"Kottuli_";"3000";"0.00";NULL;"115";"Cement";"200.00"
"2144";"673016";"Kottuli_";"3000";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"300.00"
"2144";"673016";"Kottuli_";"3000";"0.00";NULL;"152";"Electrical_Wires_and_Cables";"5.00"
"2144";"673016";"Kottuli_";"3000";"0.00";NULL;"252";"Fans";"0.00"
"2144";"673016";"Kottuli_";"3000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"10.00"
"2145";"695102";"Alamcode_";"2500";"0.00";NULL;"115";"Cement";"2142.00"
"2145";"695102";"Alamcode_";"2500";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"152.00"
"2146";"680682";"Puthenchira_";"5000";"0.00";NULL;"152";"Electrical_Wires_and_cables";"14.00"
"2146";"680682";"Puthenchira_";"5000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"134.00"
"2146";"680682";"Puthenchira_";"5000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"54.00"
"2146";"680682";"Puthenchira_";"5000";"0.00";NULL;"309";"MCBs_and_Other_Protection_Devices";"15.00"
"2146";"680682";"Puthenchira_";"5000";"0.00";NULL;"312";"Electrical_Consumables";"71.00"
"2152";"691013";"Kollam_Civil_Station_";"3000";"0.00";"Flooring";"115";"Cement";"800.00"
"2152";"691013";"Kollam_Civil_Station_";"3000";"0.00";"Flooring";"116";"Rebars_and_Binding_Wires";"8000.00"
"2152";"691013";"Kollam_Civil_Station_";"3000";"0.00";"Flooring";"117";"Sand_and_Fine_Aggregates";"7200.00"
"2152";"691013";"Kollam_Civil_Station_";"3000";"0.00";"Flooring";"119";"Bricks";"4000.00"
"2152";"691013";"Kollam_Civil_Station_";"3000";"0.00";"Flooring";"152";"Electrical_Wires_and_Cables";"189.00"
"2152";"691013";"Kollam_Civil_Station_";"3000";"0.00";"Flooring";"253";"Coarse_Aggregates_and_Boulders";"13500.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";NULL;"Bricks";"200000.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";"115";"Cement";"2.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";"116";"Rebars_and_Binding_Wires";"20000.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";"117";"Sand_and_Fine_Aggregates";"10000.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";"123";"Tiles_-_Vitrified";"3.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";"124";"Tiles_-_Ceramic";"2.00"
"2153";"688524";"Cherthala_";"18000";"1950.00";"Structure";"135";"White_Cements_and_Putty";"1.00"
"2155";"695028";"Vattappara_";"1230";"0.00";NULL;"123";"Tiles_-_Vitrified";"0.00"
"2155";"695028";"Vattappara_";"1230";"0.00";NULL;"126";"Tiles_-_Outdoor";"0.00"
"2155";"695028";"Vattappara_";"1230";"0.00";NULL;"131";"Wooden_Flooring";"0.00"
"2155";"695028";"Vattappara_";"1230";"0.00";NULL;"137";"Wall_Tiles";"0.00"
"2155";"695028";"Vattappara_";"1230";"0.00";NULL;"300";"Wall_and_Roof_Paints";"0.00"
"2155";"695028";"Vattappara_";"1230";"0.00";NULL;"301";"Granites_and_Marbles";"0.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"14.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"159";"Faucets";"40.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"13.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"161";"Shower_and_Shower_Accessories";"13.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"169";"Kitchen_Taps";"6.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"306";"Allied_Products";"246.00"
"2156";"682301";"Tripunithura_";"200";"0.00";NULL;"308";"Valves";"40.00"
"2157";"673001";"Calicut_";"3000";"2000.00";NULL;"123";"Tiles_-_Vitrified";"0.00"
"2157";"673001";"Calicut_";"3000";"2000.00";NULL;"126";"Tiles_-_Outdoor";"0.00"
"2157";"673001";"Calicut_";"3000";"2000.00";NULL;"131";"Wooden_Flooring";"0.00"
"2157";"673001";"Calicut_";"3000";"2000.00";NULL;"137";"Wall_Tiles";"0.00"
"2157";"673001";"Calicut_";"3000";"2000.00";NULL;"300";"Wall_and_Roof_Paints";"0.00"
"2157";"673001";"Calicut_";"3000";"2000.00";NULL;"301";"Granites_and_Marbles";"0.00"
"2159";"673017";"Chevarambalam_";"1500";"0.00";NULL;"115";"Cement";"10000.00"
"2159";"673017";"Chevarambalam_";"1500";"0.00";NULL;"152";"Electrical_Wires_and_cables";"65.00"
"2160";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"115";"Cement";"1000.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;NULL;"Coarse_Aggregates_and_Boulders";"15773.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;"115";"Cement";"6000.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"15000.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;"268";"Pipe_Fittings";"88.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;"305";"Plumbing_Valves_and_Accessories";"1.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;"311";"Common_Consumables";"7.00"
"2161";"695582";"Kazhakuttam_";"1560";"0.00";NULL;"323";"Plumbing_Consumables";"50.00"
"2162";"689695";"Manchallur_Pathanapuram_";NULL;"0.00";NULL;"115";"Cement";"50.00"
"2163";"678011";"Ambikapuram__(Palakkad)";NULL;"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"2.00"
"2165";"673612";"Balusseri_";"2700";"1300.00";NULL;"115";"Cement";"60.00"
"2166";"673612";"Balusseri_";"2700";"1250.00";"Structure";"115";"Cement";"60.00"
"2166";"673612";"Balusseri_";"2700";"1250.00";"Structure";"119";"Bricks";"1000.00"
"2167";"691535";"Nilamel_";"2200";"0.00";NULL;"115";"Cement";"10000.00"
"2167";"691535";"Nilamel_";"2200";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"50000.00"
"2167";"691535";"Nilamel_";"2200";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"10000.00"
"2167";"691535";"Nilamel_";"2200";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"30000.00"
"2168";"695009";"Manacaud_";"2000";"0.00";NULL;"115";"Cement";"10000.00"
"2168";"695009";"Manacaud_";"2000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"40000.00"
"2168";"695009";"Manacaud_";"2000";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"0.00"
"2169";"695501";"Vedivachankoil_";"2570";"0.00";NULL;"115";"Cement";"10000.00"
"2169";"695501";"Vedivachankoil_";"2570";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"40000.00"
"2169";"695501";"Vedivachankoil_";"2570";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"20000.00"
"2169";"695501";"Vedivachankoil_";"2570";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"40000.00"
"2170";"695582";"Kazhakuttam_";"5400";"0.00";NULL;"115";"Cement";"20000.00"
"2170";"695582";"Kazhakuttam_";"5400";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"60000.00"
"2171";"673613";"Nanminda_";"2000";"1200.00";NULL;"123";"Tiles_-_Vitrified";"1000.00"
"2171";"673613";"Nanminda_";"2000";"1200.00";NULL;"124";"Tiles_-_Ceramic";"1000.00"
"2172";"673611";"Makkada_";"1700";"1000.00";"Finishing";"158";"Wash_Basins_and_Pedestals";"5.00"
"2173";"673616";"Chelannur_";"2000";"1000.00";NULL;"158";"Wash_Basins_and_Pedestals";"0.00"
"2173";"673616";"Chelannur_";"2000";"1000.00";NULL;"159";"Faucets";"0.00"
"2173";"673616";"Chelannur_";"2000";"1000.00";NULL;"160";"WCs__Flushing_and_Accessories";"0.00"
"2173";"673616";"Chelannur_";"2000";"1000.00";NULL;"161";"Shower_and_Shower_Accessories";"0.00"
"2173";"673616";"Chelannur_";"2000";"1000.00";NULL;"164";"Basin_and_Bathroom_Cabinets";"0.00"
"2174";"673616";"Chelannur_";"2300";"1000.00";"Finishing";"123";"Tiles_-_Vitrified";"1500.00"
"2175";"673603";"Tiruvambadi_";"2300";"1000.00";NULL;"123";"Tiles_-_Vitrified";"1700.00"
"2176";"673612";"Karumala_";"2600";"1200.00";NULL;"317";"Tata_Steel";"40.00"
"2177";"673586";"Adivaram_Pudupadi_";"2700";"1800.00";"Structure";"115";"Cement";"8.00"
"2177";"673586";"Adivaram_Pudupadi_";"2700";"1800.00";"Structure";"116";"Rebars_and_Binding_Wires";"10.00"
"2177";"673586";"Adivaram_Pudupadi_";"2700";"1800.00";"Structure";"253";"Coarse_Aggregates_and_Boulders";"1000.00"
"2178";"673001";"Calicut_";"5000";"1000.00";"Structure";"115";"Cement";"6.00"
"2178";"673001";"Calicut_";"5000";"1000.00";"Structure";"116";"Rebars_and_Binding_Wires";"34.00"
"2178";"673001";"Calicut_";"5000";"1000.00";"Structure";"117";"Sand_and_Fine_Aggregates";"5200.00"
"2178";"673001";"Calicut_";"5000";"1000.00";"Structure";"119";"Bricks";"1000.00"
"2178";"673001";"Calicut_";"5000";"1000.00";"Structure";"253";"Coarse_Aggregates_and_Boulders";"3000.00"
"2179";"670644";"Alattil_";"7000";"700.00";"Structure";"115";"Cement";"3600.00"
"2179";"670644";"Alattil_";"7000";"700.00";"Structure";"117";"Sand_and_Fine_Aggregates";"6000.00"
"2179";"670644";"Alattil_";"7000";"700.00";"Structure";"119";"Bricks";"4000.00"
"2179";"670644";"Alattil_";"7000";"700.00";"Structure";"228";"PVC_and_Other_Pipes";"200.00"
"2179";"670644";"Alattil_";"7000";"700.00";"Structure";"253";"Coarse_Aggregates_and_Boulders";"14300.00"
"2179";"670644";"Alattil_";"7000";"700.00";"Structure";"317";"Tata_Steel";"50.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"123";"Tiles_-_Vitrified";"1500.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"126";"Tiles_-_Outdoor";"700.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"158";"Wash_Basins_and_Pedestals";"10.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"159";"Faucets";"5.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"160";"WCs__Flushing_and_Accessories";"15.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"161";"Shower_and_Shower_Accessories";"9.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"166";"Other_Bathroom_Fittings";"13.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"249";"Lamps_";"20.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"256";"Pavers";"3000.00"
"2180";"673004";"Calicut_City_";"2000";"2000.00";"Finishing";"300";"Wall_and_Roof_Paints";"60.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";;;"43.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"135";"White_Cements_and_Putty";"20.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"137";"Wall_Tiles";"500.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"140";"Wallpapers";"9000.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"215";"Roofing_Sheets";"3000.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"217";"Roofing_Tiles_and_Shingles";"1000.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"249";"Lamps_";"40.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"263";"Chimney";"1.00"
"2181";"673571";"Kunnamangalam_";"2000";"1700.00";"Finishing";"300";"Wall_and_Roof_Paints";"40.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"123";"Tiles_-_Vitrified";"17000.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"124";"Tiles_-_Ceramic";"3000.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"158";"Wash_Basins_and_Pedestals";"3.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"159";"Faucets";"3.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"160";"WCs__Flushing_and_Accessories";"2.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"161";"Shower_and_Shower_Accessories";"2.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"162";"Urinals_and_Bidets";"0.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"163";"Bathtubs__Hot_Tubs__Trays_and_Pools";"2.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"164";"Basin_and_Bathroom_Cabinets";"2.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"166";"Other_Bathroom_Fittings";"3.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"168";"Kitchen_Sinks";"15.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"169";"Kitchen_Taps";"15.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"256";"Pavers";"80000.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"263";"Chimney";"15.00"
"2182";"673571";"Padanilam_";"30000";"1000.00";"Flooring";"308";"Valves";"2.00"
"2184";"695001";"Thiruvananthapuram_G.P.O._";"5000";"0.00";NULL;"115";"Cement";"8000.00"
"2185";"673001";"Calicut_";"0";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"218.00"
"2185";"673001";"Calicut_";"0";"0.00";NULL;"154";"Switchgear";"1.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"152";"Electrical_Wires_and_cables";"60.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"29.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"154";"Switchgear";"5.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"249";"Lamps_";"10.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"252";"Fans";"8.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"7.00"
"2188";"680507";"Pavaratty_";"2000";"0.00";NULL;"259";"Boxes";"15.00"
"2189";"670101";"Thalassery_";"30000";"0.00";NULL;"115";"Cement";"120.00"
"2189";"670101";"Thalassery_";"30000";"0.00";NULL;"317";"Tata_Steel";"0.00"
"2190";"673101";"Vadakara_";"27000";"1000.00";"Finishing";"123";"Tiles_-_Vitrified";"3000.00"
"2190";"673101";"Vadakara_";"27000";"1000.00";"Finishing";"158";"Wash_Basins_and_Pedestals";"100.00"
"2191";"673016";"Kottuli_";"2500";"0.00";NULL;NULL;NULL;"210.00"
"2191";"673016";"Kottuli_";"2500";"0.00";NULL;;;"600.00"
"2191";"673016";"Kottuli_";"2500";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"4600.00"
"2192";"676505";"Malappuram_";"27000";"1300.00";"Structure";"115";"Cement";"1000.00"
"2192";"676505";"Malappuram_";"27000";"1300.00";"Structure";"116";"Rebars_and_Binding_Wires";"10000.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"2.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"159";"Faucets";"4.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"2.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"161";"Shower_and_Shower_Accessories";"2.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"163";"Bathtubs__Hot_Tubs__Trays_and_Pools";"2.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"260";"Faucet_and_Shower_Trims";"2.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"306";"Allied_Products";"4.00"
"2193";"680507";"Vemmanad_";"2000";"0.00";NULL;"307";"Bathroom_Accessories";"4.00"
"2194";"683561";"Edathala_";"2000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"18.00"
"2194";"683561";"Edathala_";"2000";"0.00";NULL;"154";"Switchgear";"3.00"
"2194";"683561";"Edathala_";"2000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"10.00"
"2194";"683561";"Edathala_";"2000";"0.00";NULL;"259";"Boxes";"10.00"
"2195";"683561";"Edathala_";"3000";"0.00";NULL;"123";"Tiles_-_Vitrified";"30000.00"
"2195";"683561";"Edathala_";"3000";"0.00";NULL;"300";"Wall_and_Roof_Paints";"25.00"
"2196";"695004";"Goureesapattom_";"2500";"0.00";NULL;"152";"Electrical_Wires_and_cables";"27.00"
"2196";"695004";"Goureesapattom_";"2500";"0.00";NULL;"154";"Switchgear";"2.00"
"2196";"695004";"Goureesapattom_";"2500";"0.00";NULL;"262";"Electrical_Conduits";"1.00"
"2196";"695004";"Goureesapattom_";"2500";"0.00";NULL;"273";"Electrical_Conduit_Fittings";"8.00"
"2196";"695004";"Goureesapattom_";"2500";"0.00";NULL;"312";"Electrical_Consumables";"9.00"
"2197";"695582";"Kazhakuttam_";"10000";"300.00";NULL;"152";"Electrical_Wires_and_cables";"500.00"
"2197";"695582";"Kazhakuttam_";"10000";"300.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"15000.00"
"2197";"695582";"Kazhakuttam_";"10000";"300.00";NULL;"154";"Switchgear";"100.00"
"2198";"695007";"Thiruvananthapuram__Beach_";"0";"0.00";NULL;"152";"Electrical_Wires_and_Cables";"3.00"
"2198";"695007";"Thiruvananthapuram__Beach_";"0";"0.00";NULL;"154";"Switchgear";"3.00"
"2200";"695021";"Titanium_";"3500";"0.00";NULL;"115";"Cement";"100.00"
"2201";"670001";"Kannur_";"1500";"0.00";NULL;"115";"Cement";"1000.00"
"2204";"676303";"Parpanangadi_";"1500";"0.00";"Structure";"115";"Cement";"600.00"
"2204";"676303";"Parpanangadi_";"1500";"0.00";"Structure";"116";"Rebars_and_Binding_Wires";"6000.00"
"2204";"676303";"Parpanangadi_";"1500";"0.00";"Structure";"117";"Sand_and_Fine_Aggregates";"2700.00"
"2204";"676303";"Parpanangadi_";"1500";"0.00";"Structure";"253";"Coarse_Aggregates_and_Boulders";"2025.00"
"2205";"673576";"Vythiri_";"20000";"1650.00";NULL;"123";"Tiles_-_Vitrified";"0.00"
"2205";"673576";"Vythiri_";"20000";"1650.00";NULL;"158";"Wash_Basins_and_Pedestals";"0.00"
"2206";"673001";"Calicut_";"10000";"1500.00";NULL;"123";"Tiles_-_Vitrified";"2000.00"
"2206";"673001";"Calicut_";"10000";"1500.00";NULL;"124";"Tiles_-_Ceramic";"5000.00"
"2207";"673612";"Eramangalam_";"2000";"1600.00";NULL;"115";"Cement";"2000.00"
"2207";"673612";"Eramangalam_";"2000";"1600.00";NULL;"117";"Sand_and_Fine_Aggregates";"1700.00"
"2207";"673612";"Eramangalam_";"2000";"1600.00";NULL;"119";"Bricks";"2500.00"
