pincode,area,subcat_name,SUM(ed.qty)
695582,4500,Lamps,10
695582,2700,PlumbingConsumables,10
695582,2700,PipeFittings,40
695582,2000,Fans,60
695582,2000,Lamps,56
680102,1200,Cement,120
673612,3000,Cement,500
673612,3000,Steel,1500
673612,3000,SandandFineAggregates,1000
695001,1200,Cement,1000
695582,1990,KitchenTaps,2
695582,1990,WaterproofingChemicals,844019
695582,1990,AlliedProducts,2
695582,1990,WashBasinsandPedestals,36
695582,1990,ShowerandShowerAccessories,6
695582,1990,Boxes,100
695582,1990,Faucets,6
686610,2500,NULL,14
679329,125,NULL,125
679573,2500,NULL,1375
676503,2500,,1884
676503,2500,NULL,1892
695584,1200,Tiles-Vitrified,204
695584,1200,Admixtures-Cement&Concrete,1
695584,1200,Showers,1
695581,1200,,8
670307,2500,ExteriorPaintsandDistempers,68
670307,2500,PaintConsumables,42
670307,2500,WhiteCementsandPutty,24
670307,1500,ExteriorPaintsandDistempers,24
686636,1000,Tiles-Ceramic,214
686636,1000,Tiles-Vitrified,10
686636,1000,VeneersandLaminates,96
688004,2500,WhiteCementsandPutty,16
670511,2500,WaterPurifier,3
670307,2500,Tiles-Ceramic,2420
695584,3200,Pumps,1
695584,3200,Cement,10
695584,3200,,35
695584,3200,Faucets,61
695584,3200,PVCandOtherPipes,10
695584,3200,Switchgear,12
695584,3200,PipeFittings,120
695584,3200,KitchenSinks,1
695584,3200,Lamps,1
682001,1500,PipeFittings,328
682001,1500,PVCandOtherPipes,330
682001,1500,PlumbingConsumables,110
683517,2500,CladdingTiles,100
686610,2500,PipeFittings,49
686610,2500,PlumbingConsumables,2
686610,2500,PVCandOtherPipes,186
695013,2500,PVCandOtherPipes,636
695013,2500,PipeFittings,1251
695013,2500,PlumbingConsumables,742
682304,2500,ExteriorPaintsandDistempers,3
688011,1500,RoofingTilesandShingles,2000
670705,250,InverterandBatteries,5
695006,1500,ExteriorPaintsandDistempers,12
695006,1500,InteriorPaintsandDistempers,9
686575,100000,,4
695017,2000,WhiteCementsandPutty,2
695017,2000,PaintConsumables,28
695017,2000,ExteriorPaintsandDistempers,5
695582,1200,Showers,1
695582,1200,Switchgear,17
695582,1200,Tiles-Vitrified,1430
673611,2500,ElectricalConduits,2
673611,2500,Switchgear,13
673611,2500,CoverPlatesandMountingFrames,46
673611,2500,ElectricalWiresandcables,26
673611,2500,ElectricalConduitFittings,9
673611,2500,ElectricalConsumables,1
695582,1200,Pumps,1
688004,1000,Tiles-Vitrified,107
688004,1000,WallTiles,4
682020,12000,Cement,10000
695582,2500,Steel,10
695582,2500,KitchenTaps,10
695582,2500,RoofingSheets,300
695582,2500,WhiteCementsandPutty,1
695582,2500,Hob,12
695582,2500,Mirrors,1
695582,2500,WashBasinsandPedestals,10
695582,2500,Cement,20
695582,2500,KitchenSinks,10
695582,2500,OtherBathroomFittings,1
695582,2500,Faucets,12
695582,2500,ElectricalConsumables,1
695582,2500,Switchgear,252
695582,2500,CladdingTiles,200
695582,2500,Chimney,3
695582,2500,PipeFittings,743
695582,2500,Plywood,10
695582,2500,WallTiles,100
695582,2500,Fans,6
695582,2500,Showers,10
673631,100000,SandandFineAggregates,1200
688004,1500,Tiles-Vitrified,1468
688004,1500,WallTiles,53
695586,2500,,750
695586,2500,NULL,3000
682301,2500,Tiles-Vitrified,8000
682301,2500,Tiles-Ceramic,5700
682025,30000,Tiles-Vitrified,100000
682025,30000,ElectricalWiresandcables,80
682025,30000,Cement,20000
682025,30000,Steel,100000
673571,2500,PipeFittings,127
673571,2500,PlumbingConsumables,32
673571,2500,PVCandOtherPipes,20
673602,2000,Tiles-Vitrified,2000
673613,2500,Tiles-Vitrified,765
695581,4500,,10
695581,4500,SandandFineAggregates,10
695581,4500,Boxes,1
695581,4500,Faucets,40
